q,q_uncertainty,name,lat_NS,long_EW,elevation,environment,p_comment,corr_HP_flag,total_depth_MD,total_depth_TVD,explo_method,explo_purpose,qc,qc_uncertainty,q_method,q_top,q_bottom,probe_penetration,publication_reference,data_reference,relevant_child,c_comment,corr_IS_flag,corr_T_flag,corr_S_flag,corr_E_flag,corr_TOPO_flag,corr_PAL_flag,corr_SUR_flag,corr_CONV_flag,corr_HR_flag,expedition,probe_type,probe_length,probe_tilt,water_temperature,geo_lithology,geo_stratigraphy,T_grad_mean,T_grad_uncertainty,T_grad_mean_cor,T_grad_uncertainty_cor,T_method_top,T_method_bottom,T_shutin_top,T_shutin_bottom,T_corr_top,T_corr_bottom,T_number,q_date,tc_mean,tc_uncertainty,tc_source,tc_location,tc_method,tc_saturation,tc_pT_conditions,tc_pT_fuction,tc_number,tc_strategy,Ref_ISGN,Reviewer_name,Reviewer_comment,Review_date,Review_status,Country,Region,Continent,Domain,Year,Quality_Code,ID_parent,ID
89.0,,2610,75.30000,11.00000,-2360.00,offshore (continental),,,,,Probing (offshore/ocean),Research,89.0,,Interval method,,,,Akhmedzyanov_etal._2012b,,Yes,,Considered – pT,,,,,,,,,R/V 26 Akademik Nikolai Strakhov,Violin-Bow probe (Lister),,,,sediments,Cenozoic,86.00,,,,,,,,,,,2009-01,1.04,,In-situ probe,Actual heat-flow location,Probe - pulse technique,Saturated measured in-situ,Actual in-situ (pT) conditions,,,,,"Alexey Petrunin,Florian Neumann",,6/06/2023,completed,,Norwegian Sea,Eurasian Plate,marine,2012,Ux.M3.-------,R24-P002223,R24-002264
118.0,,2611,75.13300,9.85000,-2511.00,offshore (continental),,,,,Probing (offshore/ocean),Research,118.0,,Interval method,,,,Akhmedzyanov_etal._2012b,,Yes,,Considered – pT,,,,,,,,,R/V 26 Akademik Nikolai Strakhov,Violin-Bow probe (Lister),,,,sediments,Cenozoic,120.00,,,,,,,,,,,2009-01,0.98,,In-situ probe,Actual heat-flow location,Probe - pulse technique,Saturated measured in-situ,Actual in-situ (pT) conditions,,,,,"Alexey Petrunin,Florian Neumann",,6/06/2023,completed,,Greenland Sea,Eurasian Plate,marine,2012,Ux.M3.-------,R24-P002224,R24-002265
230.0,,2612,74.90000,8.40000,-3450.00,offshore (continental),,,,,Probing (offshore/ocean),Research,230.0,,Interval method,,,,Akhmedzyanov_etal._2012b,,Yes,,Considered – pT,,,,,,,,,R/V 26 Akademik Nikolai Strakhov,Violin-Bow probe (Lister),,,,sediments,Cenozoic,288.00,,,,,,,,,,,2009-01,0.80,,In-situ probe,Actual heat-flow location,Probe - pulse technique,Saturated measured in-situ,Actual in-situ (pT) conditions,,,,,"Alexey Petrunin,Florian Neumann",,6/06/2023,completed,,Greenland Sea,North American Plate,marine,2012,Ux.M3.-------,R24-P002225,R24-002266
119.0,,2614,74.73300,9.86700,-2548.00,offshore (continental),,,,,Probing (offshore/ocean),Research,119.0,,Interval method,,,,Akhmedzyanov_etal._2012b,,Yes,,Considered – pT,,,,,,,,,R/V 26 Akademik Nikolai Strakhov,Violin-Bow probe (Lister),,,,sediments,Cenozoic,113.00,,,,,,,,,,,2009-01,1.05,,In-situ probe,Actual heat-flow location,Probe - pulse technique,Saturated measured in-situ,Actual in-situ (pT) conditions,,,,,"Alexey Petrunin,Florian Neumann",,6/06/2023,completed,,Norwegian Sea,Eurasian Plate,marine,2012,Ux.M3.-------,R24-P002226,R24-002267
83.0,,2615,74.88300,11.31700,-2431.00,offshore (continental),,,,,Probing (offshore/ocean),Research,83.0,,Interval method,,,,Akhmedzyanov_etal._2012b,,Yes,,Considered – pT,,,,,,,,,R/V 26 Akademik Nikolai Strakhov,Violin-Bow probe (Lister),,,,sediments,Cenozoic,92.00,,,,,,,,,,,2009-01,0.90,,In-situ probe,Actual heat-flow location,Probe - pulse technique,Saturated measured in-situ,Actual in-situ (pT) conditions,,,,,"Alexey Petrunin,Florian Neumann",,6/06/2023,completed,,Norwegian Sea,Eurasian Plate,marine,2012,Ux.M3.-------,R24-P002227,R24-002268
66.0,,2616,75.01700,12.50000,-2147.00,offshore (continental),,,,,Probing (offshore/ocean),Research,66.0,,Interval method,,,,Akhmedzyanov_etal._2012b,,Yes,,Considered – pT,,,,,,,,,R/V 26 Akademik Nikolai Strakhov,Violin-Bow probe (Lister),,,,sediments,Cenozoic,66.00,,,,,,,,,,,2009-01,1.00,,In-situ probe,Actual heat-flow location,Probe - pulse technique,Saturated measured in-situ,Actual in-situ (pT) conditions,,,,,"Alexey Petrunin,Florian Neumann",,6/06/2023,completed,,Norwegian Sea,Eurasian Plate,marine,2012,Ux.M3.-------,R24-P002228,R24-002269
49.0,,2617,75.80000,12.85000,-1505.00,offshore (continental),,,,,Probing (offshore/ocean),Research,49.0,,Interval method,,,,Akhmedzyanov_etal._2012b,,Yes,,Considered – pT,,,,,,,,,R/V 26 Akademik Nikolai Strakhov,Violin-Bow probe (Lister),,,,sediments,Cenozoic,61.00,,,,,,,,,,,2009-01,0.80,,In-situ probe,Actual heat-flow location,Probe - pulse technique,Saturated measured in-situ,Actual in-situ (pT) conditions,,,,,"Alexey Petrunin,Florian Neumann",,6/06/2023,completed,,Greenland Sea,Eurasian Plate,marine,2012,Ux.M3.-------,R24-P002229,R24-002270
53.0,,2618,75.77800,13.23200,-1247.00,offshore (continental),,,,,Probing (offshore/ocean),Research,53.0,,Interval method,,,,Akhmedzyanov_etal._2012b,,Yes,,Considered – pT,,,,,,,,,R/V 26 Akademik Nikolai Strakhov,Violin-Bow probe (Lister),,,,sediments,Cenozoic,53.00,,,,,,,,,,,2009-01,1.00,,In-situ probe,Actual heat-flow location,Probe - pulse technique,Saturated measured in-situ,Actual in-situ (pT) conditions,,,,,"Alexey Petrunin,Florian Neumann",,6/06/2023,completed,,Norwegian Sea,Eurasian Plate,marine,2012,Ux.M4.-------,R24-P002230,R24-002271
50.0,,2619,75.76900,13.37400,-1207.00,offshore (continental),,,,,Probing (offshore/ocean),Research,50.0,,Interval method,,,,Akhmedzyanov_etal._2012b,,Yes,,Considered – pT,,,,,,,,,R/V 26 Akademik Nikolai Strakhov,Violin-Bow probe (Lister),,,,sediments,Cenozoic,57.00,,,,,,,,,,,2009-01,0.88,,In-situ probe,Actual heat-flow location,Probe - pulse technique,Saturated measured in-situ,Actual in-situ (pT) conditions,,,,,"Alexey Petrunin,Florian Neumann",,6/06/2023,completed,,Norwegian Sea,Eurasian Plate,marine,2012,Ux.M4.-------,R24-P002231,R24-002272
52.0,,2620,75.75300,13.57500,-997.00,offshore (continental),,,,,Probing (offshore/ocean),Research,52.0,,Interval method,,,,Akhmedzyanov_etal._2012b,,Yes,,Considered – pT,,,,,,,,,R/V 26 Akademik Nikolai Strakhov,Violin-Bow probe (Lister),,,,sediments,Cenozoic,45.00,,,,,,,,,,,2009-01,1.15,,In-situ probe,Actual heat-flow location,Probe - pulse technique,Saturated measured in-situ,Actual in-situ (pT) conditions,,,,,"Alexey Petrunin,Florian Neumann",,6/06/2023,completed,,Norwegian Sea,Eurasian Plate,marine,2012,Ux.M4.-------,R24-P002232,R24-002273
32.0,,2621,75.73700,13.72500,-873.00,offshore (continental),,,,,Probing (offshore/ocean),Research,32.0,,Interval method,,,,Akhmedzyanov_etal._2012b,,Yes,,Considered – pT,,,,,,,,,R/V 26 Akademik Nikolai Strakhov,Violin-Bow probe (Lister),,,,sediments,Cenozoic,28.00,,,,,,,,,,,2009-01,1.14,,In-situ probe,Actual heat-flow location,Probe - pulse technique,Saturated measured in-situ,Actual in-situ (pT) conditions,,,,,"Alexey Petrunin,Florian Neumann",,6/06/2023,completed,,Norwegian Sea,Eurasian Plate,marine,2012,Ux.M4.-------,R24-P002233,R24-002274
